"canonical_key"	"user"	"repo_count"	"first_seen"	"last_seen"	"seen_total"	"repo_labels"	"repo_urls"
"junhnno|https://github.com/junhnno/Codyssey_WorkSpace_Week2"	"junhnno"	"1"	"2026-04-13"	"2026-04-17"	"5"	"Codyssey_WorkSpace_Week2"	"https://github.com/junhnno/Codyssey_WorkSpace_Week2"
"kimch0612|https://github.com/kimch0612/Codyssey_Week1"	"kimch0612"	"1"	"2026-04-13"	"2026-04-17"	"5"	"Codyssey_Week1"	"https://github.com/kimch0612/Codyssey_Week1"
"kimch0612|https://github.com/kimch0612/Codyssey_Week2"	"kimch0612"	"1"	"2026-04-13"	"2026-04-17"	"5"	"Codyssey_Week2"	"https://github.com/kimch0612/Codyssey_Week2"
"kimch0612|https://github.com/kimch0612/Codyssey_Week3"	"kimch0612"	"1"	"2026-04-13"	"2026-04-17"	"5"	"Codyssey_Week3"	"https://github.com/kimch0612/Codyssey_Week3"
"leehnmn|https://github.com/leehnmn/codyssey_2026/tree/main/project-1"	"leehnmn"	"1"	"2026-04-13"	"2026-04-17"	"5"	"codyssey_2026/project-1"	"https://github.com/leehnmn/codyssey_2026/tree/main/project-1"
"leehnmn|https://github.com/leehnmn/codyssey_2026/tree/main/project-2"	"leehnmn"	"1"	"2026-04-13"	"2026-04-17"	"5"	"codyssey_2026/project-2"	"https://github.com/leehnmn/codyssey_2026/tree/main/project-2"
"LimJongHan|https://github.com/LimJongHan/Codyssey-E1-1"	"LimJongHan"	"1"	"2026-04-17"	"2026-04-17"	"1"	"Codyssey-E1-1"	"https://github.com/LimJongHan/Codyssey-E1-1"
"LimJongHan|https://github.com/LimJongHan/Codyssey-E1-2"	"LimJongHan"	"1"	"2026-04-16"	"2026-04-17"	"2"	"Codyssey-E1-2"	"https://github.com/LimJongHan/Codyssey-E1-2"
"MetaStudy999|https://github.com/MetaStudy999/python-quiz-game"	"MetaStudy999"	"1"	"2026-04-16"	"2026-04-17"	"2"	"python-quiz-game"	"https://github.com/MetaStudy999/python-quiz-game"
"mov-hyun|https://github.com/mov-hyun/e1-1-workstation-setup"	"mov-hyun"	"1"	"2026-04-13"	"2026-04-17"	"5"	"e1-1-workstation-setup"	"https://github.com/mov-hyun/e1-1-workstation-setup"
"mov-hyun|https://github.com/mov-hyun/e1-2-python-basics-quiz-game"	"mov-hyun"	"1"	"2026-04-13"	"2026-04-17"	"5"	"e1-2-python-basics-quiz-game"	"https://github.com/mov-hyun/e1-2-python-basics-quiz-game"
"mov-hyun|https://github.com/mov-hyun/e1-3-mini-npu-simulator"	"mov-hyun"	"1"	"2026-04-14"	"2026-04-17"	"4"	"e1-3-mini-npu-simulator"	"https://github.com/mov-hyun/e1-3-mini-npu-simulator"
"mulloc1|https://github.com/mulloc1/codyssey_first_python"	"mulloc1"	"1"	"2026-04-13"	"2026-04-17"	"5"	"codyssey_first_python"	"https://github.com/mulloc1/codyssey_first_python"
"mulloc1|https://github.com/mulloc1/codyssey_python_with_npu"	"mulloc1"	"1"	"2026-04-13"	"2026-04-17"	"5"	"codyssey_python_with_npu"	"https://github.com/mulloc1/codyssey_python_with_npu"
"mulloc1|https://github.com/mulloc1/codyssey_workstation"	"mulloc1"	"1"	"2026-04-13"	"2026-04-17"	"5"	"codyssey_workstation"	"https://github.com/mulloc1/codyssey_workstation"
"NiceTry3675|https://github.com/NiceTry3675/E1-1"	"NiceTry3675"	"1"	"2026-04-16"	"2026-04-17"	"2"	"E1-1"	"https://github.com/NiceTry3675/E1-1"
"NiceTry3675|https://github.com/NiceTry3675/E1-2"	"NiceTry3675"	"1"	"2026-04-16"	"2026-04-17"	"2"	"E1-2"	"https://github.com/NiceTry3675/E1-2"
"ntt65|https://github.com/ntt65/codyssey/tree/main/e1_1"	"ntt65"	"1"	"2026-04-13"	"2026-04-17"	"5"	"codyssey/e1_1"	"https://github.com/ntt65/codyssey/tree/main/e1_1"
"ntt65|https://github.com/ntt65/codyssey/tree/main/e1_2"	"ntt65"	"1"	"2026-04-14"	"2026-04-17"	"4"	"codyssey/e1_2"	"https://github.com/ntt65/codyssey/tree/main/e1_2"
"ntt65|https://github.com/ntt65/codyssey/tree/main/e1_3"	"ntt65"	"1"	"2026-04-16"	"2026-04-17"	"2"	"codyssey/e1_3"	"https://github.com/ntt65/codyssey/tree/main/e1_3"
"PaKoo03|https://github.com/PaKoo03/Codyssey_01"	"PaKoo03"	"1"	"2026-04-16"	"2026-04-17"	"2"	"Codyssey_01"	"https://github.com/PaKoo03/Codyssey_01"
"PaKoo03|https://github.com/PaKoo03/Codyssey_03"	"PaKoo03"	"1"	"2026-04-16"	"2026-04-17"	"2"	"Codyssey_03"	"https://github.com/PaKoo03/Codyssey_03"
"peachily|https://github.com/peachily/codyssey11-E1"	"peachily"	"1"	"2026-04-13"	"2026-04-17"	"5"	"codyssey11-E1"	"https://github.com/peachily/codyssey11-E1"
"request10hour|https://github.com/request10hour/python-quiz-game"	"request10hour"	"1"	"2026-04-16"	"2026-04-17"	"2"	"python-quiz-game"	"https://github.com/request10hour/python-quiz-game"
"shannonlee-dev|https://github.com/shannonlee-dev/mini-npu-simulator"	"shannonlee-dev"	"1"	"2026-04-16"	"2026-04-17"	"2"	"mini-npu-simulator"	"https://github.com/shannonlee-dev/mini-npu-simulator"
"shannonlee-dev|https://github.com/shannonlee-dev/python-quiz-game-mission"	"shannonlee-dev"	"1"	"2026-04-16"	"2026-04-17"	"2"	"python-quiz-game-mission"	"https://github.com/shannonlee-dev/python-quiz-game-mission"
"skskwn|https://github.com/skskwn/AI-SW-Building-a-workstation"	"skskwn"	"1"	"2026-04-16"	"2026-04-17"	"2"	"AI-SW-Building-a-workstation"	"https://github.com/skskwn/AI-SW-Building-a-workstation"
"solbao-dev|https://github.com/solbao-dev/2nd_mission_quizgame"	"solbao-dev"	"1"	"2026-04-16"	"2026-04-17"	"2"	"2nd_mission_quizgame"	"https://github.com/solbao-dev/2nd_mission_quizgame"
