"user"	"repo_url"	"repo_label"	"canonical_key"	"note"
"yun-lim"	"https://github.com/yun-lim/codyssey-w2"	"codyssey-w2"	"yun-lim__week2"	"manual_alias_same_mission"
"yun-lim"	"https://github.com/yun-lim/codyssey-week2"	"codyssey-week2"	"yun-lim__week2"	"manual_alias_same_mission"
